model,split,accuracy,balanced_accuracy,macro_f1,weighted_f1
B: tuned CNN,test,0.6217008797653959,0.30053072625698324,0.3163985385263749,0.5590283103844761
A: baseline CNN,test,0.6217008797653959,0.29608938547486036,0.2854710144927536,0.5387252610254013
2: LeNet-5 modernised (+ ReLU + max pooling + Adam),test,0.5659824046920822,0.214413407821229,0.2289638857592553,0.4791500039040531
1: LeNet-5 (original),test,0.5249266862170088,0.1177653631284916,0.1021963447350771,0.3883023458443722
0: majority-class baseline,test,0.5249266862170088,0.1,0.06884615384615385,0.36139183397247915
