model,split,accuracy,balanced_accuracy,macro_f1,weighted_f1
2: LeNet-5 modernised (+ ReLU + max pooling + Adam),test,0.5659824046920822,0.21441340782122903,0.2289638857592553,0.4791500039040531
1: LeNet-5 (original),test,0.5249266862170088,0.11776536312849162,0.10219634473507713,0.3883023458443722
0: majority-class baseline,test,0.5249266862170088,0.1,0.06884615384615385,0.36139183397247915
