model,split,accuracy,balanced_accuracy,macro_f1,weighted_f1,epochs_run,test_macro_f1,test_accuracy
V0: original (tanh + avgpool + SGD),val,0.5131964809384164,0.11997206703910615,0.10730704190581992,0.3858159571115954,11,0.10219634473507713,0.5249266862170088
V1: + ReLU,val,0.5571847507331378,0.16388268156424582,0.15570894279574027,0.4316580551512338,18,0.13987868969235429,0.5483870967741935
V2: + ReLU + max pooling,val,0.533724340175953,0.11499999999999999,0.09357270180799591,0.38218857791050304,14,0.08678450991291457,0.5278592375366569
V3: + ReLU + max pooling + Adam,val,0.5659824046920822,0.22773743016759776,0.23930447502076718,0.48822760734685344,23,0.2289638857592553,0.5659824046920822
